CS105,What class are you filling out this survey for? Select all that apply.,What is your current class standing?,Are you a transfer student?,"What is your major/minor? (If your major is not listed, please write it in ""Other.."")",What was the reason (or reasons) you chose CS (CSBA) or DS as your major or minor?,"Have you ever thought about changing your major? If so, what were the reasons? Choose all that apply.",What is your current cumulative GPA?,What is your age?,What is your height (in inches)?,What is your ethnicity?,What gender do you identify as?,Select ALL that you identify with:,How many languages can you speak (not programming languages),What is your preferred domain of interest in Computer Science?,What is your second most preferred domain of interest in Computer Science?,How much free time would you say you have a day on average?,How many hours of strenuous exercise do you do per week on average?,How many times do you go to the gym per week on average?,Rate your overall mental health.,Rate the change in your physical activity levels during the pandemic. ,Which health and safety practices have you adopted during the pandemic? ,How long does it take for you to fall asleep?,"After your last meal/snack of the day, how many hours do you stay awake before you sleep? ",How many hours of sleep do you need to feel rested? ,How many hours of sleep do you get on average during college?,How many meals do you typically eat per day? ,"On average, how much water do you drink per day?",How often do you eat breakfast?,"On average, how would you describe your energy levels throughout the day? ",How tired do you usually feel when waking up?,How often do you consume caffeinated beverages?,What types of caffeinated drink do you consume? Choose all that apply. ,"What is your daily caffeinated drink intake?
(For reference, a ""small"" Red Bull is 8.4oz and ""medium"" Starbucks Grande is 16oz)","Do you currently live in a house, apartment, or dorm?",How many people live in your household?,Who do you live with during the quarter?,Who do you live with during breaks?,How have your social interactions changed during the Covid-19 pandemic?,What forms of new social engagement did you have during the Covid-19 pandemic?,How many hours a week do you spend cooking/prepping meals for yourself?,How many times a week do you eat out?,How much do you spend on eating out per week on average?,"Of these options, which do you spend the most on financially?","On a scale of 1-5, 1 being bad and 5 being great, how well do you consider yourself at cooking?",What food allergies do you have? Choose all that apply: ,"Out of these options, what best motivates you to donate blood (or if it is not included in this list, explain in ""Other"")?","Out of these options, what hinders you the most from donating blood (or if it is not included in this list, explain in ""Other"")?",How do you get to school?,How far is your commute to UCR (in miles)?,How long does your daily commute to UCR usually take (in minutes)?,How many days per week do you commute to UCR?,How many AP classes did you take in high school? ,How many units are you registered for this quarter? ,How many times per week are you late to lectures? ,How often do you feel unprepared for a class due to not understanding the material? ,Do you study individually or in a group? ,How many hours a week do you spend studying?,What study techniques do you use? Choose all that apply.,How often do you feel stressed about completing an assignment?,"How much do you agree with this statement: ""My grades would be better if I could study more instead of having to work?""","On a scale of 1-5, how well do you learn in class?",What would you consider the average length of time you can stay focused in class? ,How often do you go on your phone or talk to your friends during class? ,"How often do you find it difficult to focus in class due to external distractions (e.g., noise, temperature, seating)?",Do you agree that attending office hours has or would have helped your grade? ,How many times have you attended office hours for your hardest class so far this quarter? ,Do you believe that you suffer from imposter syndrome?,How many times have you applied for a job/internship before you got a response back? ,Around what time of the year do you apply to jobs/internships the most?,Which AI tool do you primarily use?,How frequently do you use ChatGPT or other AI language models?,What types of tasks do you normally use ChatGPT or another AI language model to complete?,"On a scale of 1-10, how afraid are you about A.I could reduce your job opportunities? (1 being not afraid at all and 10 being extremely afraid)",What was your main hobby during high school? ,What hobbies/activities outside of general education did you enjoy before you entered college? Choose all that apply.,What hobbies/activities outside of general education do you enjoy now during college? Choose all that apply.,Approximately how many hours a week on average do you spend on these hobbies/this hobby now during college?,How many campus clubs/organizations are you involved in? ,"How many hours a week do you spend on all extracurriculars (work, clubs, research, sports, etc.)? ",Which Computer Science-related extracurricular activities have you participated in? (Select all that apply),"What are your favorite music genres? List them from most favorite to least favorite (e.g. rock, pop, country... put at least 3 genres, but there's no limit).","What does music make you feel like? Your response should be limited to 5 single words separated by commas (e.g. awesome, relaxed, happy, calm, fun).","How much do you go out of your way to find new music? [1 to 5; 1 is ""I am comfortable with my music as is""; 3 is ""I have a 50-50 mix of listening to familiar music and new music""; 5 is ""I mostly listen to new music""]"
10/30/2024 17:39:09,CS105,Senior,No,CS major,"Interest in technology and problem-solving, Fascination with data analysis and decision-making, Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential","N/A, I have never thought about changing my major.",2.50 - 2.99,20 - 22,72,Hispanic or Latino,Male,Second Generation Student,2 - 3,Software Engineering,Web Development,<= 3 hours,More than 5+ hours,5 - 6 times,4,5,None,0 - 15 minutes,1 - 3 hours,6 - 7 hours,7 - 8 hours,2,1 - 2 liters (about 34-68 oz),Rarely (once a month or less),4,4,Multiple times per week,Coffee,12-24 oz (1 - 2 cups),Apartment,4,Neither,Family,Decreased significantly,"Social media, Outdoor activities","0 hours, I don't cook or prep meals",1 - 2 times,$35 - $40,Groceries/Food,3,No food allergies,"N/A, I don't donate blood",Nothing,boosted board,0.5,5,5 days,More than 8,16,2 - 3 lectures,Often,Individually,0 - 5 hours,"Reviewing lectures, Mind mapping",Somewhat stressed,"N/A, I don't have to work",1,20 - 40 mins,Sometimes,Rarely,Agree,Seldom,Moderately,7 or more,Fall,ChatGPT,Everyday,"Assignments, Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.), Research-related cases, Summarizing an assignment (break down concepts, outline problems, etc.)",4,Playing musical instruments,Gaming,"Music and Performing Arts (playing instruments, singing, acting, dancing), Tech and DIY (coding, woodworking, home improvement, electronics), Intellectual Pursuits (reading, puzzles, learning new languages, studying history)",10,1,11 - 15 hours,"Coding Competitions, Computer Science Club, Tech-related volunteer work or internships","EDM, R&B, Indie Rock","peaceful, calm, levitate",4
10/30/2024 17:42:04,CS10C,Sophomore,No,Data Science major,"Interest in technology and problem-solving, Fascination with data analysis and decision-making, Strong job prospects and high earning potential","I realized I’m more passionate about another field., To clarify, I am very passionate about other things (music), but I would likely not change my major to that field.",3.67 - 4.0,18 - 20,5'9,Hispanic or Latino,Male,"First Generation Student, In-State Student",2 - 3,Data Science,Not sure,<= 3 hours,2 - 3 hours,3 - 4 times,3,4,"Wearing masks, Hand washing, Social distancing, Vaccination",0 - 15 minutes,1 - 3 hours,7 - 8 hours,7 - 8 hours,3,1 - 2 liters (about 34-68 oz),Every day,2,2,I don't consume them at all,None,0 oz,House,3,Family,Family,Increased slightly,Virtual meetups,1 - 2 hours,1 - 2 times,$15 - $20,"Transportation (gas, car maintenance, public transit)",3,No food allergies,"N/A, I don't donate blood",low iron,Car,7,15,5 days,6 - 8,16.5,0 - 1 lectures,Rarely,Individually,11 - 15 hours,"Reviewing lectures, Writing notes, Practice Problems",Somewhat stressed,Strongly agree,4,60 - 80 mins,Sometimes,Rarely,Agree,Weekly to biweekly,Somewhat,"N/A, I haven't applied to any jobs/internships","N/A, I haven't applied to any jobs/internships",ChatGPT,Sometimes,Help with Studying,6,Playing musical instruments,"Gaming, Reading, Playing/Doing some kind of sport or martial art, Art (Music, Dance, Creative art)","Music and Performing Arts (playing instruments, singing, acting, dancing)",5,0,20+ hours,None - I have not participated in such activities,"Garage Rock, Folk, Midwest Emo, Hyperpop","Free, motivated, happy, inspired, sad",4
10/30/2024 17:42:30,CS111,Junior,No,Data Science major,"Interest in technology and problem-solving, Fascination with data analysis and decision-making, Strong job prospects and high earning potential","I realized I’m more passionate about another field., I found the coursework too challenging or overwhelming.",3.34 - 3.66,18 - 20,65,Asian,Male,Second Generation Student,2 - 3,Databases,"Machine Learning, Data Mining, NLP, AI",<= 3 hours,4 - 5 hours,1 - 2 times,3,1,"Wearing masks, Hand washing, Social distancing",0 - 15 minutes,Less than 1 hour,8 - 9 hours,6 - 7 hours,2,1 - 2 liters (about 34-68 oz),Most days (4 - 6 times a week),2,4,Multiple times per week,"Coffee, Energy drink",12-24 oz (1 - 2 cups),House,4,Friends,Family,No change,Virtual meetups,3 - 4 hours,5 - 6 times,$35 - $40,Groceries/Food,3,Tree nuts,Altruism,Fear of needles,Car,1,5,More than 5 days (Weekend classes/clubs/meetings),More than 8,16,2 - 3 lectures,Often,Individually,6 - 10 hours,Reviewing lectures,Somewhat stressed,Agree,2,20 - 40 mins,Often,Sometimes,Agree,Occasionally,Very Strongly,1 - 3,Spring,ChatGPT,A couple times a week,"Assignments, Help with Studying",7,Playing musical instruments,"Gaming, Art (Music, Dance, Creative art)","Tech and DIY (coding, woodworking, home improvement, electronics)",2,2,6 - 10 hours,"Coding Competitions, Tech-related volunteer work or internships","pop, r&b, rap","great, calm, relaxed, peaceful, hyped",1
10/30/2024 17:46:28,CS105,Senior,No,CSBA major,"Interest in technology and problem-solving, Strong job prospects and high earning potential","N/A, I have never thought about changing my major.",3.67 - 4.0,20 - 22,74,Asian,Male,"First Generation Student, In-State Student",2 - 3,"Machine Learning, Data Mining, NLP, AI",Software Engineering,Prefer not to say,2 - 3 hours,1 - 2 times,2,5,"Wearing masks, Hand washing, Social distancing, Vaccination",0 - 15 minutes,1 - 3 hours,7 - 8 hours,7 - 8 hours,2,1 - 2 liters (about 34-68 oz),Occasionally (1 - 3 times a week),4,3,I don't consume them at all,None,0 oz,House,7,Random,Family,No change,Virtual meetups,3 - 4 hours,5 - 6 times,More than $40,"Housing (rent/mortgage, utilities)",4,No food allergies,"N/A, I don't donate blood",Nothing,Car,3.5,15,3 - 4 days,6 - 8,16,2 - 3 lectures,Rarely,Individually,0 - 5 hours,Reviewing lectures,Not stressed at all,Strongly Disagree,1,20 - 40 mins,Never,Never,Strongly disagree,Never,Not At All,7 or more,Fall,ChatGPT,Everyday,"Help with Studying, Work",6,Solving logic puzzles,"Gaming, Playing/Doing some kind of sport or martial art, Art (Music, Dance, Creative art)","Gaming, Playing/Doing some kind of sport or martial art, Tech and DIY (coding, woodworking, home improvement, electronics)",4,0,20+ hours,"Coding Competitions, Tech-related volunteer work or internships","Rap, Pop, Bollywood","relaxed, focused, motivated",1
10/30/2024 17:47:08,CS105,Senior,Yes,CS major,Fascination with data analysis and decision-making,"N/A, I have never thought about changing my major.",3.34 - 3.66,22 - 24,69,Middle eastern,Male,In-State Student,2 - 3,Software Engineering,Game Development,<= 3 hours,4 - 5 hours,3 - 4 times,4,3,"Hand washing, Vaccination",15 - 30 minutes,1 - 3 hours,7 - 8 hours,6 - 7 hours,2,1 - 2 liters (about 34-68 oz),Occasionally (1 - 3 times a week),3,2,Twice a week,"Tea, Coffee, Energy drink",12-24 oz (1 - 2 cups),Apartment,2,Neither,Family,Decreased slightly,None,1 - 2 hours,3 - 4 times,$25 - $30,"Transportation (gas, car maintenance, public transit)",3,No food allergies,"N/A, I don't donate blood",Nothing,Car,65,90,1 - 2 days,3 - 5,12,0 - 1 lectures,Rarely,Individually,6 - 10 hours,Reviewing lectures,Somewhat stressed,Disagree,4,20 - 40 mins,Rarely,Sometimes,Neutral,Never,Somewhat,4 - 6,Fall,ChatGPT,Sometimes,"Error-finding (spelling, debugging, etc.)",4,Gaming,"Gaming, Cooking, Playing/Doing some kind of sport or martial art","Gaming, Tech and DIY (coding, woodworking, home improvement, electronics), Intellectual Pursuits (reading, puzzles, learning new languages, studying history)",2-3,0,0 - 5 hours,None - I have not participated in such activities,"Rap, pop, jazz",Elated,3
10/30/2024 17:52:49,CS105,Senior,No,CS major,"Interest in technology and problem-solving, Fascination with data analysis and decision-making, Strong job prospects and high earning potential","N/A, I have never thought about changing my major.",3.34 - 3.66,20 - 22,73,Asian,Male,In-State Student,2 - 3,"Machine Learning, Data Mining, NLP, AI",Software Engineering,<= 3 hours,4 - 5 hours,5 - 6 times,4,2,"Wearing masks, Hand washing, Social distancing, Vaccination",15 - 30 minutes,1 - 3 hours,6 - 7 hours,5 - 6 hours,2,2 - 3 liters (about 68-102 oz),Most days (4 - 6 times a week),3,2,Multiple times per week,Energy drink,Less than 12 oz (about 1 cup),Apartment,4,Friends,Family,Decreased slightly,Discord,1 - 2 hours,1 - 2 times,$25 - $30,Groceries/Food,5,Tree nuts,Incentives,Inconvenience of locations,Scooter,1,5,0 days (I do not commute to school),3 - 5,16,2 - 3 lectures,Often,Individually,6 - 10 hours,"Reviewing lectures, Pomodoro",Somewhat stressed,Strongly Disagree,2,20 - 40 mins,Rarely,Sometimes,Agree,Never,Moderately,4 - 6,Fall,ChatGPT,Everyday,"Assignments, Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.), Research-related cases, Summarizing an assignment (break down concepts, outline problems, etc.)",7,Sports,"Gaming, Playing/Doing some kind of sport or martial art","Cooking and Baking, Tech and DIY (coding, woodworking, home improvement, electronics), Intellectual Pursuits (reading, puzzles, learning new languages, studying history)",3,2,6 - 10 hours,"Coding Competitions, Computer Science Club, Tech-related volunteer work or internships",Rap,happy,4
10/30/2024 18:06:37,CS10C,Sophomore,No,CS major,Pressure from family members,"I wanted a major that aligns better with my personal values or lifestyle., I am not motivated to do anything I dont want to be in college I want to live life. ",2.00 - 2.49,18 - 20,67,ARAB,Male,"Second Generation Student, In-State Student",1,Data Science,Web Development,<= 3 hours,2 - 3 hours,1 - 2 times,1,1,"Wearing masks, Hand washing, Social distancing, Vaccination",15 - 30 minutes,1 - 3 hours,7 - 8 hours,6 - 7 hours,2,2 - 3 liters (about 68-102 oz),Every day,3,2,I don't consume them at all,None,0 oz,Apartment,4,Friends,Family,No change,"Social media, Outdoor activities",1 - 2 hours,1 - 2 times,$15 - $20,"Housing (rent/mortgage, utilities)",4,No food allergies,"N/A, I don't donate blood",Nothing,Walk,0.5,20,1 - 2 days,6 - 8,16,0 - 1 lectures,Often,Individually,11 - 15 hours,"Reviewing lectures, Writing notes",Very stressed,"N/A, I don't have to work",2,60 - 80 mins,Never,Rarely,Strongly agree,More than once a week,Not At All,"N/A, I haven't applied to any jobs/internships","N/A, I haven't applied to any jobs/internships",ChatGPT,Everyday,"Assignments, Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.), Research-related cases, Summarizing an assignment (break down concepts, outline problems, etc.)",1,basketball and video games,"Gaming, Playing/Doing some kind of sport or martial art","Gaming, Playing/Doing some kind of sport or martial art",3-4,1,0 - 5 hours,None - I have not participated in such activities,N/A,i dont listen to music ,3
10/30/2024 18:08:55,CS10C,Junior,No,CS major,"Interest in technology and problem-solving, Strong job prospects and high earning potential","I found the coursework too challenging or overwhelming., I wanted a major that aligns better with my personal values or lifestyle.",2.50 - 2.99,18 - 20,69,Hispanic or Latino,Male,First Generation Student,2 - 3,Game Development,Data Science,7 - 10 hours,0 -1 hours,"0, I don't go to the gym",2,2,"Wearing masks, Social distancing, Vaccination",15 - 30 minutes,1 - 3 hours,6 - 7 hours,7 - 8 hours,2,1 - 2 liters (about 34-68 oz),Rarely (once a month or less),3,4,Once per week,Coffee,Less than 12 oz (about 1 cup),Apartment,3,Neither,Family,No change,Virtual meetups,5 - 6 hours,"0 times, I don't eat out","$0, I don't eat out",Entertainment,3,No food allergies,"N/A, I don't donate blood",Nothing,Walk,0,0,0 days (I do not commute to school),0 - 2,16,0 - 1 lectures,Often,Individually,0 - 5 hours,"Reviewing lectures, Writing notes",Somewhat stressed,Agree,3,20 - 40 mins,Rarely,Sometimes,Agree,Seldom,Very Strongly,"N/A, I haven't applied to any jobs/internships","N/A, I haven't applied to any jobs/internships",ChatGPT,Sometimes,"Help with Studying, Personal Use",7,Solving logic puzzles,Gaming,"Gaming, Cooking and Baking",9,0,0 - 5 hours,None - I have not participated in such activities,"rap, hip-hop, rnb","relaxed, energized, happy, sad, lonely",4
10/30/2024 18:25:05,CS111,Junior,No,CEN or EE major,"N/A, I am neither a CS or DS major/minor","N/A, I have never thought about changing my major.",3.34 - 3.66,20 - 22,64,Hispanic or Latino,Male,"First Generation Student, In-State Student",2 - 3,Cybersecurity,Software Engineering,<= 3 hours,0 -1 hours,"0, I don't go to the gym",2,2,"Hand washing, Social distancing, Vaccination",0 - 15 minutes,Less than 1 hour,7 - 8 hours,6 - 7 hours,3,1 - 2 liters (about 34-68 oz),Every day,4,4,I don't consume them at all,"Tea, Matcha",0 oz,House,6,Family,Family,Increased significantly,"Social media, Outdoor activities",3 - 4 hours,1 - 2 times,$5 - $10,"Transportation (gas, car maintenance, public transit)",3,No food allergies,"N/A, I don't donate blood",Underweight,Car,17,25,More than 5 days (Weekend classes/clubs/meetings),More than 8,12,0 - 1 lectures,Rarely,Group-study,16 - 20 hours,"Reviewing lectures, Writing notes",Somewhat stressed,Strongly agree,3,20 - 40 mins,Sometimes,Rarely,Agree,Occasionally,Somewhat,7 or more,Winter,None; I don’t use any AI tools,Rarely/Never,"N/A, I don't use AI LLMs",1,Playing musical instruments,"Gaming, Cooking, Working on Computing related projects","Cooking and Baking, Music and Performing Arts (playing instruments, singing, acting, dancing), Tech and DIY (coding, woodworking, home improvement, electronics), Leading Student Organizations",5,2,6 - 10 hours,"Coding Competitions, Cybersecurity Competitions, Game Development Clubs/Competitions, Computer Science Club, Tech-related volunteer work or internships","Regional Mexican, Corridos Belicos, Bachata",Belicon y Tumbado,2
10/30/2024 18:41:18,CS10C,Junior,Yes,CS major,"Interest in technology and problem-solving, Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential","N/A, I have never thought about changing my major.",3.34 - 3.66,20 - 22,66,Prefer not to say,Male,"Second Generation Student, In-State Student",2 - 3,Software Engineering,Game Development,<= 3 hours,0 -1 hours,"0, I don't go to the gym",1,2,"Wearing masks, Social distancing, Vaccination",30 - 45 minutes,3 - 5 hours,8 - 9 hours,5 - 6 hours,2,1 - 2 liters (about 34-68 oz),Occasionally (1 - 3 times a week),3,3,Once per month,Coffee,0 oz,House,3,Neither,Family,No change,None,"0 hours, I don't cook or prep meals",5 - 6 times,More than $40,"Housing (rent/mortgage, utilities)",1,No food allergies,"N/A, I don't donate blood",Inconvenience of feeling it at all & having to let the draw site heal,Car,1.6,5,3 - 4 days,0 - 2,12,0 - 1 lectures,Often,Individually,16 - 20 hours,Reviewing lectures,Very stressed,Strongly agree,4,20 - 40 mins,Sometimes,Rarely,Agree,Weekly to biweekly,Somewhat,0,"N/A, I haven't applied to any jobs/internships",ChatGPT,Everyday,"Assignments, Help with Studying, Personal Use",7,Web development/App Design,"Gaming, Playing/Doing some kind of sport or martial art","Tech and DIY (coding, woodworking, home improvement, electronics)",2,0,0 - 5 hours,None - I have not participated in such activities,"Hip-hop, Pop, Electronic","Happy, relaxed",2
10/30/2024 18:52:17,CS111,Junior,No,CEN or EE major,Interest in technology and problem-solving,"I found the coursework too challenging or overwhelming., N/A, I have never thought about changing my major.",2.50 - 2.99,20 - 22,5'10,Hispanic or Latino,Male,"First Generation Student, In-State Student",2 - 3,Not sure,Not sure,4 - 6 hours,0 -1 hours,"0, I don't go to the gym",3,3,"Wearing masks, Hand washing, Social distancing, Vaccination",15 - 30 minutes,1 - 3 hours,6 - 7 hours,5 - 6 hours,2,1 - 2 liters (about 34-68 oz),Occasionally (1 - 3 times a week),3,2,Once per week,Coffee,12-24 oz (1 - 2 cups),Apartment,1,Neither,Family,No change,"Social media, Outdoor activities",1 - 2 hours,5 - 6 times,More than $40,"Housing (rent/mortgage, utilities)",1,No food allergies,"N/A, I don't donate blood",Nothing,Car,20-30 min,20-30 min,3 - 4 days,6 - 8,13,0 - 1 lectures,Often,Individually,0 - 5 hours,"Reviewing lectures, Writing notes",Somewhat stressed,Strongly agree,1,20 - 40 mins,Sometimes,Sometimes,Agree,Seldom,Not At All,0,"N/A, I haven't applied to any jobs/internships",None; I don’t use any AI tools,Prefer not to say,"N/A, I don't use AI LLMs",8,Reading Books,"Gaming, Reading","Gaming, Intellectual Pursuits (reading, puzzles, learning new languages, studying history)",4,0,0 - 5 hours,None - I have not participated in such activities,"Pop, CT, rap",Relaxed ,4
10/30/2024 18:52:52,CS111,Junior,No,CEN or EE major,"Interest in technology and problem-solving, Strong job prospects and high earning potential","I found the coursework too challenging or overwhelming., I wanted a major that aligns better with my personal values or lifestyle.",3.00 - 3.33,20 - 22,63,"Asian, White",Female,"Second Generation Student, In-State Student",1,Web Development,Cybersecurity,4 - 6 hours,0 -1 hours,"0, I don't go to the gym",1,3,"Wearing masks, Hand washing, Social distancing, Vaccination",30 - 45 minutes,3 - 5 hours,8 - 9 hours,6 - 7 hours,1,1 - 2 liters (about 34-68 oz),Rarely (once a month or less),2,3,I don't consume them at all,"Tea, Coffee, Energy drink, that is when i do drink it from some reason (btw)",Less than 12 oz (about 1 cup),House,4,Neither,"depends, sometimes family sometimes i stay here",Increased slightly,"Virtual meetups, Social media, Outdoor activities",1 - 2 hours,1 - 2 times,I am not sure.,"Housing (rent/mortgage, utilities)",3,No food allergies,If I really have to,Nothing,Walk,.5-.7 maybe,15-20mins,3 - 4 days,3 - 5,17.5,0 - 1 lectures,Often,Individually,6 - 10 hours,"Reviewing lectures, Writing notes, Mind mapping",Somewhat stressed,"N/A, I don't have to work",3,20 - 40 mins,Rarely,Sometimes,Agree,Occasionally,Very Strongly,7 or more,Winter,ChatGPT,Once a week,"Help with Studying, Personal Use, Summarizing an assignment (break down concepts, outline problems, etc.)",4,Art (drawing and painting),"Gaming, Reading, Art (Music, Dance, Creative art)","Gaming, Reading, Creative Arts (painting, drawing, crafting, photography, writing), Music and Performing Arts (playing instruments, singing, acting, dancing), Tech and DIY (coding, woodworking, home improvement, electronics), Intellectual Pursuits (reading, puzzles, learning new languages, studying history)",4hrs?,1,0 - 5 hours,"Coding Competitions, Computer Science Club","pop, deathmetal, rock",feels fine,4
10/30/2024 18:53:53,CS111,Junior,No,CSBA major,"N/A, I am neither a CS or DS major/minor","N/A, I have never thought about changing my major., I changed into this major",3.34 - 3.66,20 - 22,71,Asian,Male,In-State Student,1,Not sure,Not sure,Prefer not to say,More than 5+ hours,3 - 4 times,3,2,"Wearing masks, Hand washing, Social distancing, Vaccination",15 - 30 minutes,1 - 3 hours,7 - 8 hours,5 - 6 hours,2,2 - 3 liters (about 68-102 oz),Rarely (once a month or less),3,3,Once per day,Energy drink,12-24 oz (1 - 2 cups),Apartment,4,Friends,Family,No change,None,3 - 4 hours,3 - 4 times,$35 - $40,"Housing (rent/mortgage, utilities)",5,No food allergies,"N/A, I don't donate blood",Nothing,Walk,On campus,none,0 days (I do not commute to school),0 - 2,16,6+ lectures,Rarely,Individually,11 - 15 hours,"Reviewing lectures, Writing notes",Not very stressed,"N/A, I don't have to work",3,20 - 40 mins,Always,Sometimes,Neutral,Never,Not At All,"N/A, I haven't applied to any jobs/internships","N/A, I haven't applied to any jobs/internships",None; I don’t use any AI tools,Rarely/Never,"N/A, I don't use AI LLMs",3,Art (drawing and painting),"Gaming, Cooking","Tech and DIY (coding, woodworking, home improvement, electronics)",4,0,0 - 5 hours,None - I have not participated in such activities,"Rock, Metal, Hip-Hop","relaxed, determined",3
10/30/2024 18:56:45,CS10C,Sophomore,No,CSBA major,"Interest in technology and problem-solving, Strong job prospects and high earning potential, Encouragement or advice from family members, mentors, or educators, One or more of my family members or friends work in this area",I found the coursework too challenging or overwhelming.,3.34 - 3.66,18 - 20,72,Asian,Male,"Second Generation Student, In-State Student",2 - 3,Informations Technology,Software Engineering,4 - 6 hours,2 - 3 hours,3 - 4 times,2,4,"Wearing masks, Social distancing",15 - 30 minutes,1 - 3 hours,8 - 9 hours,7 - 8 hours,3,3 - 4 liters (about 102-135 oz),Occasionally (1 - 3 times a week),3,2,Used to but i stopped,"Tea, Coffee, Energy drink",0 oz,House,5,Family,Family,No change,"Virtual meetups, Social media",3 - 4 hours,3 - 4 times,$25 - $30,Family/Friends,5,No food allergies,"N/A, I don't donate blood",Nothing,Car/Motorcycle,9,20-30,5 days,3 - 5,12,0 - 1 lectures,Often,Individually,0 - 5 hours,Reviewing lectures,Somewhat stressed,Strongly Disagree,3,0 - 20 mins,Always,Never,Strongly agree,Occasionally,I'm Not Sure,0,Fall,ChatGPT,A couple times a week,"Assignments, Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.), Summarizing an assignment (break down concepts, outline problems, etc.)",9,Video Games,"Gaming, Cooking, Playing/Doing some kind of sport or martial art","Gaming, Cooking and Baking, Playing/Doing some kind of sport or martial art",10,1,0 - 5 hours,None - I have not participated in such activities,"Rap, Pop, RNB",Free,2
10/30/2024 19:08:20,CS111,Senior,No,CS major,"Interest in technology and problem-solving, Fascination with data analysis and decision-making, Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential",Feelings of uncertainty of what I want as a career,2.50 - 2.99,20 - 22,72,Hispanic or Latino,Male,First Generation Student,2 - 3,Not sure,Cybersecurity,<= 3 hours,4 - 5 hours,5 - 6 times,2,4,"Wearing masks, Hand washing, Social distancing, Vaccination",15 - 30 minutes,Less than 1 hour,6 - 7 hours,4 - 5 hours,3,1 - 2 liters (about 34-68 oz),Most days (4 - 6 times a week),1,3,Once per week,"Coffee, Energy drink",Less than 12 oz (about 1 cup),House,3,Family,Family,Decreased slightly,None,1 - 2 hours,1 - 2 times,$25 - $30,"Transportation (gas, car maintenance, public transit)",3,No food allergies,Incentives,Nothing,Car,13,30,3 - 4 days,3 - 5,12,0 - 1 lectures,Very often,Individually,0 - 5 hours,"Writing notes, Pomodoro",Very stressed,Agree,3,40 - 60 mins,Often,Sometimes,Neutral,Never,Very Strongly,0,Spring,ChatGPT,A couple times a week,"Help with Studying, Personal Use, Summarizing an assignment (break down concepts, outline problems, etc.)",7,Video Games,"Gaming, Playing/Doing some kind of sport or martial art, Art (Music, Dance, Creative art)","Gaming, Reading, Cooking and Baking, Playing/Doing some kind of sport or martial art, Creative Arts (painting, drawing, crafting, photography, writing), Music and Performing Arts (playing instruments, singing, acting, dancing), Tech and DIY (coding, woodworking, home improvement, electronics), Intellectual Pursuits (reading, puzzles, learning new languages, studying history)",2,0,0 - 5 hours,None - I have not participated in such activities,"Rock, Rap, Hip Hop, Rnb, Houce, Norteno, Latin, Pop, Instrumental","Awesome, relaxed, In-Tuned, Calm",4
10/30/2024 19:11:01,CS10C,Sophomore,No,Data Science major,"Fascination with data analysis and decision-making, Enjoyment of coding, programming, and building applications, One or more of my family members or friends work in this area",The current major isn’t meeting my career goals.,3.67 - 4.0,18 - 20,68,Asian,Male,Second Generation Student,2 - 3,Data Science,"Machine Learning, Data Mining, NLP, AI",<= 3 hours,More than 5+ hours,3 - 4 times,4,1,"Hand washing, Social distancing, Vaccination",15 - 30 minutes,1 - 3 hours,7 - 8 hours,6 - 7 hours,2,2 - 3 liters (about 68-102 oz),Occasionally (1 - 3 times a week),3,2,Once per week,Energy drink,12-24 oz (1 - 2 cups),Apartment,4,Family,Family,Increased significantly,"Social media, Outdoor activities",1 - 2 hours,3 - 4 times,More than $40,Groceries/Food,2,No food allergies,"N/A, I don't donate blood",Inconvenience of locations,Walk,0.2,5,5 days,6 - 8,17,0 - 1 lectures,Rarely,Individually,11 - 15 hours,"Reviewing lectures, Mind mapping",Somewhat stressed,Agree,4,60 - 80 mins,Sometimes,Never,Neutral,Occasionally,Not At All,7 or more,Winter,ChatGPT,Everyday,"Help with Studying, Error-finding (spelling, debugging, etc.)",3,Sports,"Gaming, Playing/Doing some kind of sport or martial art","Playing/Doing some kind of sport or martial art, Day Trading",8,0,6 - 10 hours,None - I have not participated in such activities,"Rap, EDM, Pop","relaxed, calm, hyped, elated, fun",3
